2025,52,,Mixed PR3 Jr 4x+,Final,1,Norcal Crew,9:04.998,"Frolik, Isabella","Wood, Lucille","Tramel, Joss","Gunther, Thurston",,,,,"Karp, Cruz",,544.998
2025,6,Founders Cup,Men's Masters D 8+ Founders Trophy (50-54) ,Final,1,Marin Rowing Association,6:43.595,"Anawalt, Parker Rose","Lange, Tyler","Younger, John","Kunz, Clayton","Stewart, Brian","Steinman, Josh","Aguiar, Mike","Champagne, Gary","Clemmer, Kenneth","Rodrigues, Rodrigo",403.595
2025,77,Margi Fetter Graham Cup,Women's Masters C 8+ Margi Fetter Graham Trophy (43-49),Final,1,Texas Rowing Center,7:02.470,"Singh, Tariya","Hawley, Imogen","Kuehster, Louise","Liedeker, Eileen","Lafferty, Devon","Schmidt, Krista","Pendleton, Jessica","Fuller Knight, Devon","Woodhart, Tina",,422.47
2025,16,Susan Francia Cup,Women's Alumnae 8+ Susan Francia Trophy,Final,1,USC Alumni,7:02.179,"Lau, Olivia","Adair, Shelby","Medelinskaite, Ieva","Miladinovic, Jelena","Downes, Brooke","Passanisi-Boullet, Olivia","Gibson, Lindsay","Clarin, Sara","Bene, Dori",,422.179
2025,12,Kaboomer Trophy,Men's Masters G 8+ Kaboomer Trophy (65-69),Final,1,RCA Alumni Association,7:00.687,"Pankratz, Jack","Cherwinski, Robert","Hardy, Paul","Lesnau, Roman","Frisch, Steve","Monckton, Phillip","Chataway, Harold","LaForme, Mel","Forgeron, Michael",,420.687
2025,58,,Mixed Inc PR2 2x,Final,1,Community Rowing of San Diego,15:31.496,,"Quesa de Santillan, MONICA",,,,,,,"Fajardo, Francisco Javier",,931.496
2025,9,Jack Buchanan Memorial Trophy,Men's Masters A 8+ Jack Buchanan Memorial Trophy (27-35) ,Final,1,Potomac Boat Club,6:18.034,"Meier, Cameron","Clements, Peter","Wrenn, Paul","Menzenski, Joseph","Boosman, Wessel","CULBERT, AUGUST","Jones, Andrew","Rogers, Patrick","Sullivan, Alexander",,378.034
2025,39,,Women's Collegiate B 4+ ,Final A,1,University of Washington,7:27.541,"Murdock, Olivia","Wilson, Scout","Dessart, Alexandra","Sand, Sofia",,,,,"Young, Margaret",,447.541
2025,69,Referee Cup,Women's U17 8+ Referee Cup,Final A,1,Newport Aquatic Center,7:21.485,"Golvelker, Sanika","Winfield, Kyla","Freijo, Isabela","Belasco, Sophia","Renger, Elizabeth","Ardelean, Giuliana","Galipeau, Clara","Aminian, Sophia","Cheng, Gianna",,441.485
2025,88,,Women's Masters 4x Foundation Challenge Dash,Final,1,San Diego Rowing Club,2:05.174,,"Roth, Lisa","St. Aubin Vehar, Donna","Gillis, Pauline",,,,,"Dekker Sanchez, Sheree",,125.174
2025,73,Presidents Trophy,Men's Masters B 8+ Presidents Trophy (36-42) ,Final,1,San Diego Rowing Club,6:13.225,"Turner, Caitlin","Brayton, Douglas","Bastien, William","Day, Evan","Aparicio, Bernard","Schmidt, Gordon","FOSTER, STEPHEN","Farmer, Shane","Peszek, Tom",,373.225
2025,3,,Mixed Masters Club Novice 8+,Final,1,Bair Island Aquatic Center (BIAC),8:10.308,"Werner, Randy","Lin, Sherry","Yuan, Grace","Gee, Sophia","Jacobson, Diane","Mohammad, Khasimul","Friebel, Daniel","Lessard, Lisa","Hayes, Tamika","Bonnici, Charles",490.308
2025,71,ZLAC Rowing Club Cup,Women's Youth B 8+ ZLAC Rowing Club Cup,Final A,1,"Saugatuck Rowing Club, LLC",7:04.274,"Yu, Sora","Weitz, Kate","Fosdick, Mackenzie","Leon, Mina","Baker, Grace","Zajac, Caroline","Proctor, Carolina","Frascella, Alice","Makmale, Hannah",,424.274
2025,74,Fred and Patricia Rickon Memorial Trophy,Women's Masters B 8+ Fred and Patricia Rickon Memorial Cup (36-42) ,Final,1,"ZLAC Rowing Club, LTD",7:11.330,"Bannister, Caitlyn","Valentine, Alexandra","Partridge, Brittany","Ferguson, Tanya","Farnan, Anna","Fane, Molly","Jambrecic, Ivona","Guy, Savonia","Barnes, Helen",,431.33
2025,8,,Women's Masters Club 4X,Final A,1,Bair Island Aquatic Center (BIAC),6:56.414,,"Brown, Izzie","Perry, Renata","Wienbar, Sharon",,,,,"O'Leary, Meghan","Flynn, Chris",416.414
2025,34,Karen Plumleigh Cortney Memorial Cup,Women's Collegiate Varsity 4+ Karen Plumleigh Cortney Cup,Final A,1,University of Washington,7:06.145,"Randall, Camille","Burbine, Paris","Whittard, Cait","Weir, Jess",,,,,"Meuleman, Ava",,426.145
2025,42,Anderson Borthwick Memorial Cup,Men's Open 8+ Anderson Borthwick Memorial Trophy Presented by SDRC,Final A,1,Club Náutico de San Juan,5:54.952,"Bose, Pranay","Diggons, Joshua","Alcorn, James","Phelps, Nathan","Hudgins, Jacob","Hollingsworth, Henry","Falstrup, Evan","Rodriguez, Augustine","Legenzowski, William",,354.952
2025,78,Coach Del Beekley Volunteer Trophy,Men's Masters C 8+ Coach Del Beekley Volunteer Cup (43-49) ,Final,1,Club Náutico de San Juan,6:26.259,"Bose, Pranay","Mallen, Joe","Holbrook, Benjamin","Brown, Taylor","Besser, James","Hollingsworth, Henry","Cunningham, Luke","Hoyle, Philip","Crosby, Joshua",,386.259
2025,50,,Mixed PR3 Inc 2x,Final,1,"Steeringuwright, LLC",9:29.779,,"Willey, Brandon",,,,,,,"Jewell, Erin",,569.779
2025,40,Laurel V. Korholz Perpetual Trophy,Women's Collegiate Novice 8+ Laurel Korholz Perpetual Trophy,Final A,1,USC Women's Rowing,6:58.098,"Clark, Anna","Bell, Raquel","Muhlner, Zoe","Sorensen, Chloe","Cullinan, Brecken","Kragh, Lia","Schofield, Lucy","Kelly, Olivia","Regan, Grace",,418.098
2025,13,Campland on the Bay Trophy,Women's Masters F 8+ Campland on the Bay Trophy (60-64) ,Final,1,Marin Rowing Association,7:40.561,"Hamill, George","Kendall, Denise","White, Lisa","McCarty, Laura","Laurberg, Tina","Aarsheim, Nadine","Boyd, Kate","Panko, Jennifer","Scott, Renata","Soares, Julio",460.561
2025,43,Coronado Cays Realty Cup,Men's Masters Club Champ 8+ Coronado Cays Realty Cup,Final A,1,University of San Diego Alumni,6:06.370,"Vallese, JoAnn","Rioux, Patrice","Frick, Dave","Krum, Steve","Johnson, Berkeley","Fiege-Kollmann, Christer","Gasper, Mike","Nelson, Luke","Killen, Scot",,366.37
2025,1,,Mixed Masters Club 8+,Final A,1,Olden Bears Rowing Club,6:26.546,"Byrd, Jann","Seehusen, Ashley","Nordquist, Sharlene","Harty, Keely","Nelson, Heidi","Nelson, Mark","Nordquist, Matt","Ware, Arthur","Wilson, Andrew",,386.546
2025,37,Derek Guelker Memorial Cup,Men's Collegiate Novice 8+ Derek Guelker Memorial Cup,Final A,1,Orange Coast College,6:19.640,"Lowengrub, Hillary","Michaletz, Jacob","Holscher, Luke","Gibbs, Hugh","Zermeno, Chris","Fenn, Caden","Elliott, Evan","Strona, Lucien","Thomson, Noah",,379.64
2025,76,Stewards Cup,Men's Masters E 8+ Stewards Cup (55-59) ,Final,1,Ex Nemo Rowing Club,6:41.682,,"Baker, James","Browder, William","Dahl, Jim","Metras, John","Kasprzyk, Steve","Ives, Ed","webster, craig","Swan, Chris",,401.682
2025,19,,ACRA Women's Collegiate 8+ Invitational,Final,1,University of California - Santa Barbara,7:19.865,"Hom, Clarissa","Koven, Tilda","Fangio, Madelynn","Lewis, Katelyn","Bayer, Hilary","Workman, Camille","Alden, Marielle","Jaber, Jocelyn","Flaherty, Haley",,439.865
2025,38,,Men's Collegiate Novice B 8+,Final A,1,Orange Coast College,6:38.606,"Pence, Evan","Stuart, Jordan","Blagoi, Vincent","Thom, Rob","Gilmer, Tanner","Marcoux, Brayden","Kalsi, Giaan","Miller, Colin","Rodriguez, Andres",,398.606
