Event #,Trophy,Event,Heat,Place,Boat,Time,Cox,Rower1,Rower2,Rower3,Rower4,Rower5,Rower6,Rower7,Rower8
1,,Men's Collegiate Varsity,A,1,San Diego A (R. Kew),06:23.35,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,2,UC Irvine A (J. Christensen),06:25.38,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,3,Purdue A (Z. Werne),06:25.57,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,4,Southern California A (),06:41.63,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,5,Loyola Marymount A (),06:45.12,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,6,California Maritime Academy A (B. Yuse),06:46.13,,,,,,,,,,,
1,,Men's Collegiate Varsity,A,7,Cal. State Long Beach A (P. Skoll),07:01.08,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,1,Santa Clara A (M. Brewer),06:23.81,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,2,Orange Coast A (M. Yanovskiy),06:24.00,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,3,SDSU - Men A (C. Elliott),06:33.51,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,4,UC Davis A (A. Hendrickson),06:37.78,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,5,Sonoma State A (J. Regester),06:42.82,,,,,,,,,,,
2,,Men's Collegiate Varsity,B,6,Illinois A (C. Skelding),07:16.03,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,1,UC Santa Barbara A (),06:16.80,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,2,UC San Diego A (),06:20.61,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,3,Notre Dame A (R. Curtis),06:22.29,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,4,UCLA Rowing A (),06:34.83,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,5,Puget Sound A (),06:59.97,,,,,,,,,,,
3,,Men's Collegiate Varsity,C,6,Lewis & Clark A (G. Siadak),06:53.58,,,,,,,,,,,
4,,Women's Collegiate Varsity,A,1,Duke - Women A (C. Williams),06:54.46,,,,,,,,,,,
4,,Women's Collegiate Varsity,A,2,Saint Marys (CA) A (M. Selby),06:57.62,,,,,,,,,,,
4,,Women's Collegiate Varsity,A,3,Duquesne University A (C. Purslow),07:02.30,,,,,,,,,,,
4,,Women's Collegiate Varsity,A,4,Old Dominion - Women A (K. Stephan),07:02.67,,,,,,,,,,,
